City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Manzhouli,CN,2020-06-15 13:54:32,49.6,117.43,68.83,38,42,6.67
110,Najran,SA,2020-06-15 13:55:44,17.49,44.13,100.4,13,36,11.41
111,Coquimbo,CL,2020-06-15 13:55:33,-29.95,-71.34,55.4,82,75,5.82
112,Ayolas,PY,2020-06-15 13:55:44,-27.4,-56.9,65.91,77,0,4.74
113,Tura,IN,2020-06-15 13:47:33,25.52,90.22,77.85,93,100,3.8
114,Torbay,CA,2020-06-15 13:48:02,47.67,-52.73,46.0,100,90,6.93
115,Sinnamary,GF,2020-06-15 13:48:06,5.38,-52.95,81.61,82,93,5.3
116,Batagay-Alyta,RU,2020-06-15 13:47:33,67.8,130.41,56.91,47,100,4.65
117,Bethel,US,2020-06-15 13:47:15,41.37,-73.41,66.0,59,1,8.05
118,Gizo,SB,2020-06-15 13:55:45,-8.1,156.84,83.05,75,96,8.43
119,Port Hedland,AU,2020-06-15 13:47:14,-20.32,118.57,69.8,40,16,9.17
120,Bontang,ID,2020-06-15 13:53:43,0.13,117.5,79.02,85,23,2.95
121,Hilton Head Island,US,2020-06-15 13:54:45,32.22,-80.75,73.99,83,75,11.41
122,Mabaruma,GY,2020-06-15 13:55:45,8.2,-59.78,81.99,84,90,4.81
123,Batocina,RS,2020-06-15 13:55:46,44.15,21.08,69.8,68,40,9.17
124,Acapulco,MX,2020-06-15 13:51:59,16.86,-99.89,78.8,88,40,2.21
125,Monrovia,LR,2020-06-15 13:55:46,6.3,-10.8,86.0,74,75,8.05
126,San Cristobal,VE,2020-06-15 13:43:46,7.77,-72.22,80.6,74,40,9.17
127,Tuatapere,NZ,2020-06-15 13:47:30,-46.13,167.68,48.6,88,7,4.45
128,Bairiki,KI,2020-06-15 13:55:46,1.33,172.98,80.6,83,20,2.24
129,Tokur,RU,2020-06-15 13:55:46,53.13,132.9,42.78,90,95,3.29
130,Port Alfred,ZA,2020-06-15 13:55:47,-33.59,26.89,59.0,90,78,3.0
131,Victoria,HK,2020-06-15 13:43:56,22.29,114.16,84.0,79,17,5.99
132,Ilulissat,GL,2020-06-15 13:47:24,69.22,-51.1,35.6,90,90,8.05
133,Domoszlo,HU,2020-06-15 13:55:47,47.83,20.12,72.0,83,100,1.95
134,Constitucion,CL,2020-06-15 13:47:37,-35.33,-72.42,55.58,81,100,21.54
135,Requena,ES,2020-06-15 13:55:47,39.49,-1.1,84.0,20,0,1.01
136,Broome,US,2020-06-15 13:47:49,42.25,-75.83,60.01,66,1,1.48
137,Xapuri,BR,2020-06-15 13:55:47,-10.65,-68.5,71.6,78,98,4.12
138,Dolzhanskaya,RU,2020-06-15 13:55:48,46.63,37.8,75.99,100,100,10.0
139,Khatanga,RU,2020-06-15 13:47:26,71.97,102.5,48.85,67,100,21.99
140,Isangel,VU,2020-06-15 13:47:36,-19.55,169.27,72.77,80,3,16.08
141,Sambava,MG,2020-06-15 13:47:47,-14.27,50.17,76.06,74,90,15.55
142,Klaksvik,FO,2020-06-15 13:47:18,62.23,-6.59,51.8,87,91,13.87
143,Tsagveri,GE,2020-06-15 13:55:49,41.8,43.48,74.48,43,62,4.61
144,Hithadhoo,MV,2020-06-15 13:47:22,-0.6,73.08,85.19,73,100,16.53
145,Hermanus,ZA,2020-06-15 13:47:10,-34.42,19.23,62.01,71,69,3.0
146,Ostrovnoy,RU,2020-06-15 13:47:39,68.05,39.51,49.01,76,96,8.32
147,Kikwit,CD,2020-06-15 13:55:49,-5.04,18.82,92.19,24,0,4.99
148,Avarua,CK,2020-06-15 13:47:16,-21.21,-159.78,69.8,77,90,13.87
149,Komsomolskiy,UZ,2020-06-15 13:48:01,40.43,71.72,95.0,10,0,4.7
150,Along,IN,2020-06-15 13:55:50,28.17,94.77,75.97,86,99,0.81
151,Nanortalik,GL,2020-06-15 13:47:43,60.14,-45.24,38.88,79,95,8.84
152,Kisanga,TZ,2020-06-15 13:55:50,-7.44,37.7,81.18,52,3,4.05
153,Key West,US,2020-06-15 13:55:50,24.56,-81.78,87.8,66,20,5.75
154,Boyolangu,ID,2020-06-15 13:55:51,-8.12,111.89,77.86,89,56,7.56
155,Saldanha,ZA,2020-06-15 13:47:28,-33.01,17.94,66.2,63,0,3.36
156,Sao Filipe,CV,2020-06-15 13:47:21,14.9,-24.5,78.58,71,1,11.45
157,Saint George,US,2020-06-15 13:46:08,37.1,-113.58,68.0,23,1,3.44
158,Kavieng,PG,2020-06-15 13:47:17,-2.57,150.8,82.38,78,100,8.7
159,Sao Joao Da Barra,BR,2020-06-15 13:47:24,-21.64,-41.05,71.6,94,90,13.87
160,Nabire,ID,2020-06-15 13:55:51,-3.37,135.48,77.54,87,100,2.13
161,Lazaro Cardenas,MX,2020-06-15 13:55:13,17.96,-102.2,81.0,70,9,3.38
162,Barrow,US,2020-06-15 13:47:16,71.29,-156.79,33.8,86,1,11.41
163,Castro,BR,2020-06-15 13:47:11,-24.79,-50.01,59.0,84,92,10.69
164,Narsaq,GL,2020-06-15 13:47:26,60.92,-46.05,42.8,56,75,9.17
165,Hovd,MN,2020-06-15 13:55:52,48.01,91.64,72.32,27,34,12.46
166,Marquette,US,2020-06-15 13:55:52,46.53,-87.63,63.0,71,5,8.05
167,Jabinyanah,TN,2020-06-15 13:55:52,35.03,10.91,82.4,39,0,14.99
168,Madimba,TZ,2020-06-15 13:55:52,-10.4,40.33,82.4,42,20,11.41
169,Talaya,RU,2020-06-15 13:55:52,61.38,152.75,54.77,58,0,5.3
170,Bredasdorp,ZA,2020-06-15 13:47:21,-34.53,20.04,62.6,63,30,10.09
171,Shelburne,CA,2020-06-15 13:47:36,44.08,-80.2,62.01,59,1,5.82
172,Mbala,ZM,2020-06-15 13:55:53,-8.84,31.37,70.32,37,0,3.11
173,Meulaboh,ID,2020-06-15 13:47:48,4.14,96.13,79.36,86,100,4.25
174,Muhldorf,DE,2020-06-15 13:55:53,48.25,12.53,60.01,98,100,13.04
175,Evensk,RU,2020-06-15 13:48:29,61.95,159.23,49.82,62,0,0.92
176,Korhogo,CI,2020-06-15 13:55:53,9.45,-5.63,95.27,38,0,6.6
177,Severo-Kurilsk,RU,2020-06-15 13:47:10,50.68,156.12,40.91,92,100,15.43
178,Poum,NC,2020-06-15 13:47:11,-20.23,164.02,74.39,75,0,15.37
179,Chibombo,ZM,2020-06-15 13:55:54,-14.66,28.07,71.29,37,16,10.4
180,Bowen,AU,2020-06-15 13:55:54,-20.02,148.23,72.0,88,90,4.7
181,Borogontsy,RU,2020-06-15 13:55:54,62.67,131.17,58.1,66,46,4.76
182,Kahna Nau,PK,2020-06-15 13:53:53,31.37,74.37,102.2,27,0,11.41
183,Petropavlovsk-Kamchatskiy,RU,2020-06-15 13:47:23,53.05,158.65,39.2,100,90,6.71
184,Uren,RU,2020-06-15 13:55:54,57.46,45.79,72.12,52,5,6.35
185,Hami,CN,2020-06-15 13:55:54,42.8,93.45,84.67,17,8,14.61
186,Saint-Francois,FR,2020-06-15 13:55:54,46.42,3.91,72.0,49,40,8.05
187,East London,ZA,2020-06-15 13:47:14,-33.02,27.91,60.8,72,20,8.05
188,Pevek,RU,2020-06-15 13:47:52,69.7,170.31,38.16,88,0,5.19
189,Portland,US,2020-06-15 13:44:03,45.52,-122.68,55.99,93,90,9.17
190,Puerto Escondido,MX,2020-06-15 13:47:21,15.85,-97.07,77.0,78,5,9.17
191,Jepelacio,PE,2020-06-15 13:55:56,-6.12,-76.95,70.25,74,94,0.92
192,Allapalli,IN,2020-06-15 13:55:56,19.42,80.07,82.09,80,100,6.2
193,Gasa,PS,2020-06-15 13:55:56,31.5,34.47,82.99,54,0,1.99
194,Nantucket,US,2020-06-15 13:46:43,41.28,-70.1,61.0,87,90,18.34
195,Bonoua,CI,2020-06-15 13:55:58,5.27,-3.6,82.4,83,75,8.05
196,Khandyga,RU,2020-06-15 13:55:58,62.67,135.6,55.69,62,1,2.37
197,Kathu,TH,2020-06-15 13:55:58,7.92,98.33,77.0,100,40,3.71
198,Islampur,IN,2020-06-15 13:55:58,26.27,88.2,83.05,79,95,2.98
199,Port Augusta,AU,2020-06-15 13:55:58,-32.5,137.77,55.4,71,0,5.82
200,Carnarvon,AU,2020-06-15 13:47:21,-24.87,113.63,69.8,28,0,15.93
201,Luanda,AO,2020-06-15 13:55:18,-8.84,13.23,77.0,73,20,9.17
202,Vestmannaeyjar,IS,2020-06-15 13:48:18,63.44,-20.27,46.4,93,90,9.17
203,Vardo,NO,2020-06-15 13:47:15,70.37,31.11,51.8,53,40,21.92
204,Anadyr,RU,2020-06-15 13:48:10,64.75,177.48,32.0,94,20,10.47
205,Sembakung,ID,2020-06-15 13:55:59,3.82,117.25,75.43,92,1,0.94
206,Darnah,LY,2020-06-15 13:55:59,32.77,22.64,86.5,34,0,14.23
207,Alofi,NU,2020-06-15 13:47:16,-19.06,-169.92,74.12,78,41,27.09
208,Ponta Do Sol,PT,2020-06-15 13:48:04,32.67,-17.1,71.6,78,20,10.29
209,Dudinka,RU,2020-06-15 13:56:00,69.41,86.18,50.0,50,12,15.66
210,Tawau,MY,2020-06-15 13:56:01,4.25,117.89,78.8,94,20,3.36
211,Cantaura,VE,2020-06-15 13:56:01,9.31,-64.36,85.08,61,83,11.25
212,Thames,NZ,2020-06-15 13:56:02,-37.13,175.53,53.01,89,84,3.18
213,Karatau,KZ,2020-06-15 13:56:02,43.17,70.47,88.83,16,8,7.34
214,Touros,BR,2020-06-15 13:48:09,-5.2,-35.46,82.4,78,75,6.93
215,Kavaratti,IN,2020-06-15 13:56:02,10.57,72.64,84.94,79,100,19.17
216,Rio Gallegos,AR,2020-06-15 13:56:02,-51.62,-69.22,30.2,92,40,5.82
217,Port Elizabeth,ZA,2020-06-15 13:47:32,-33.92,25.57,62.6,77,20,12.75
218,Presidencia Roque Saenz Pena,AR,2020-06-15 13:56:04,-26.79,-60.44,63.0,55,100,1.99
