City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (in),Snow (in)
25,Busselton,AU,2020-06-16 13:26:06,-33.65,115.33,59.0,64,92,15.32,overcast clouds,0.0,0
26,Kudahuvadhoo,MV,2020-06-16 13:27:05,2.67,72.89,84.79,76,1,9.22,clear sky,0.0,0
27,Nuuk,GL,2020-06-16 13:31:09,64.18,-51.72,33.8,100,90,12.75,light rain,0.0,0
28,Cidreira,BR,2020-06-16 13:23:23,-30.18,-50.21,63.09,82,3,11.63,clear sky,0.0,0
29,Nabire,ID,2020-06-16 13:35:03,-3.37,135.48,75.38,86,23,4.5,few clouds,0.0,0
30,Mataura,NZ,2020-06-16 13:26:12,-46.19,168.86,46.06,85,24,4.41,few clouds,0.0,0
31,Cabo San Lucas,MX,2020-06-16 13:25:07,22.89,-109.91,84.2,8,5,12.75,clear sky,0.0,0
32,Albany,US,2020-06-16 13:35:04,42.6,-73.97,66.0,51,0,4.27,clear sky,0.0,0
33,Saskylakh,RU,2020-06-16 13:26:09,71.92,114.08,51.21,51,0,7.96,clear sky,0.0,0
34,Ushuaia,AR,2020-06-16 13:34:25,-54.8,-68.3,37.4,85,40,8.05,scattered clouds,0.0,0
35,New Norfolk,AU,2020-06-16 13:26:16,-42.78,147.06,39.99,84,30,1.99,moderate rain,1.52,0
36,Dickinson,US,2020-06-16 13:32:25,29.46,-95.05,82.99,78,20,4.27,light rain,0.25,0
37,Bredasdorp,ZA,2020-06-16 13:26:21,-34.53,20.04,68.0,52,0,5.5,clear sky,0.0,0
38,Souillac,MU,2020-06-16 13:26:59,-20.52,57.52,73.4,69,40,9.17,scattered clouds,0.0,0
39,Kavaratti,IN,2020-06-16 13:26:49,10.57,72.64,84.97,79,100,19.73,overcast clouds,0.0,0
40,Mar Del Plata,AR,2020-06-16 13:26:06,-38.0,-57.56,57.99,93,90,6.93,overcast clouds,0.0,0
41,Batagay-Alyta,RU,2020-06-16 13:35:05,67.8,130.41,59.4,59,97,8.12,overcast clouds,0.0,0
42,Los Llanos De Aridane,ES,2020-06-16 13:26:26,28.66,-17.92,78.8,74,34,2.24,scattered clouds,0.0,0
43,Talnakh,RU,2020-06-16 13:26:11,69.49,88.4,44.6,81,75,13.42,broken clouds,0.0,0
44,Norman Wells,CA,2020-06-16 13:26:25,65.28,-126.83,53.6,76,75,13.87,broken clouds,0.0,0
45,Tasiilaq,GL,2020-06-16 13:26:10,65.61,-37.64,39.2,80,75,17.22,light rain,0.0,0
46,Avarua,CK,2020-06-16 13:26:29,-21.21,-159.78,71.6,64,8,5.82,clear sky,0.0,0
47,Nikolskoye,RU,2020-06-16 13:26:03,59.7,30.79,79.0,50,75,8.95,thunderstorm,0.0,0
48,Iracoubo,GF,2020-06-16 13:26:52,5.48,-53.2,80.49,86,3,4.34,light rain,0.97,0
49,Kapaa,US,2020-06-16 13:26:11,22.08,-159.32,77.0,78,90,14.99,light rain,0.0,0
50,Touros,BR,2020-06-16 13:35:06,-5.2,-35.46,75.2,94,75,8.05,broken clouds,0.0,0
51,Mehamn,NO,2020-06-16 13:26:41,71.04,27.85,46.4,68,75,20.8,broken clouds,0.0,0
52,Te Anau,NZ,2020-06-16 13:35:06,-45.42,167.72,51.57,83,59,6.11,broken clouds,0.0,0
53,Vardo,NO,2020-06-16 13:35:07,70.37,31.11,50.0,57,40,16.11,scattered clouds,0.0,0
54,Pisco,PE,2020-06-16 13:26:25,-13.7,-76.22,64.4,82,90,2.24,mist,0.0,0
55,Yar-Sale,RU,2020-06-16 13:35:07,66.83,70.83,50.09,48,100,11.59,overcast clouds,0.0,0
56,Ostrovnoy,RU,2020-06-16 13:27:06,68.05,39.51,43.68,64,100,20.8,overcast clouds,0.0,0
57,Arraial Do Cabo,BR,2020-06-16 13:26:12,-22.97,-42.03,73.4,64,75,10.29,broken clouds,0.0,0
58,Vaini,TO,2020-06-16 13:26:05,-21.2,-175.2,71.6,68,40,9.17,scattered clouds,0.0,0
59,Ampanihy,MG,2020-06-16 13:35:07,-24.7,44.75,69.35,66,7,16.96,clear sky,0.0,0
